City Rank,City,State,2020 census,2010 census,2020 land area sq mi,2016 land area km2,2020 pop density sq mi,2016 pop desity km2,longitude,latitude
2020rank,,,,,,,,,,
124,Huntington Beach,California,198711,189992,27.0,69.9,7360,2840,33.69N,118.00W
125,Overland Park,Kansas,197238,173372,75.2,194.8,2623,1013,38.88N,94.69W
126,Glendale,California,196543,191719,30.5,79.0,6444,2488,34.18N,118.24W
127,Tallahassee,Florida,196169,181376,100.9,261.3,1944,751,30.45N,84.25W
128,Grand Prairie,Texas,196100,175396,72.6,188.0,2701,1043,32.68N,97.02W
129,McKinney,Texas,195308,131117,67.0,173.5,2915,1125,33.19N,96.66W
130,Cape Coral,Florida,194016,154305,106.0,274.5,1830,710,26.64N,81.99W
131,Sioux Falls,South Dakota,192517,153888,79.1,204.9,2434,940,43.53N,96.73W
132,Peoria,Arizona,190985,154065,176.1,456.1,1085,419,33.78N,112.30W
133,Providence,Rhode Island,190934,178042,18.4,47.7,10377,4007,41.82N,71.41W
134,Vancouver,Washington,190915,161791,48.7,126.1,3920,1510,45.63N,122.59W
135,Knoxville,Tennessee,190740,178874,98.7,255.6,1933,746,35.97N,83.94W
136,Akron,Ohio,190469,199110,61.9,160.3,3077,1188,41.08N,81.52W
137,Shreveport,Louisiana,187593,199311,107.8,279.2,1740,670,32.46N,93.79W
138,Mobile,Alabama,187041,195111,139.5,361.3,1341,518,30.66N,88.10W
139,Brownsville,Texas,186738,175023,131.5,340.6,1420,550,25.99N,97.45W
140,Newport News,Virginia,186247,180719,69.0,178.7,2699,1042,37.07N,76.52W
141,Fort Lauderdale,Florida,182760,165521,34.6,89.6,5282,2039,26.14N,80.14W
142,Chattanooga,Tennessee,181099,167674,142.4,368.8,1272,491,35.06N,85.24W
143,Tempe,Arizona,180587,161719,39.9,103.3,4526,1747,33.38N,111.93W
144,Aurora,Illinois,180542,197899,45.0,116.5,4012,1549,41.76N,88.29W
145,Santa Rosa,California,178127,167815,42.5,110.1,4191,1618,38.44N,122.70W
146,Eugene,Oregon,176654,156185,44.2,114.5,3997,1543,44.05N,123.11W
147,Elk Grove,California,176124,153015,42.0,108.8,4193,1619,38.41N,121.38W
148,Salem,Oregon,175535,154637,48.8,126.4,3597,1389,44.92N,123.02W
149,Ontario,California,175265,163924,50.0,129.5,3505,1353,34.03N,117.60W
150,Cary,North Carolina,174721,135234,59.2,153.3,2951,1139,35.78N,78.81W
151,Rancho Cucamonga,California,174453,165269,40.1,103.9,4350,1680,34.12N,117.56W
152,Oceanside,California,174068,167086,41.3,107.0,4215,1627,33.22N,117.30W
153,Lancaster,California,173516,156633,94.3,244.2,1840,710,34.69N,118.17W
154,Garden Grove,California,171949,170883,18.0,46.6,9553,3688,33.77N,117.96W
155,Pembroke Pines,Florida,171178,154019,32.7,84.7,5235,2021,26.02N,80.34W
156,Fort Collins,Colorado,169810,143986,57.2,148.1,2969,1146,40.54N,105.06W
157,Palmdale,California,169450,152750,106.1,274.8,1597,617,34.59N,118.10W
158,Springfield,Missouri,169176,159498,82.4,213.4,2053,793,37.19N,93.29W
159,Clarksville,Tennessee,166722,132929,99.4,257.4,1677,647,36.56N,87.34W
160,Salinas,California,163542,150441,23.5,60.9,6959,2687,36.69N,121.63W
161,Hayward,California,162954,144186,45.8,118.6,3558,1374,37.62N,122.10W
162,Paterson,New Jersey,159732,146199,8.4,21.8,19016,7342,40.91N,74.16W
163,Alexandria,Virginia,159467,139966,14.9,38.6,10702,4132,38.82N,77.08W
164,Macon,Georgia,157346,91351,249.4,645.9,631,244,32.80N,83.69W
165,Corona,California,157136,152374,39.9,103.3,3938,1520,33.86N,117.56W
166,Kansas City,Kansas,156607,145786,124.7,323.0,1256,485,39.12N,94.74W
167,Lakewood,Colorado,155984,142980,43.5,112.7,3586,1385,39.69N,105.11W
168,Springfield,Massachusetts,155929,153060,31.9,82.6,4888,1887,42.11N,72.54W
169,Sunnyvale,California,155805,140081,22.1,57.2,7050,2720,37.38N,122.02W
170,Jackson,Mississippi,153701,173514,111.7,289.3,1376,531,32.31N,90.21W
171,Killeen,Texas,153095,127921,54.8,141.9,2794,1079,31.07N,97.73W
172,Hollywood,Florida,153067,140768,27.3,70.7,5607,2165,26.03N,80.16W
173,Murfreesboro,Tennessee,152769,108755,62.9,162.9,2429,938,35.85N,86.41W
174,Pasadena,Texas,151950,149043,43.7,113.2,3477,1342,29.65N,95.15W
175,Bellevue,Washington,151854,122363,33.5,86.8,4533,1750,47.59N,122.15W
176,Pomona,California,151713,149058,23.0,59.6,6596,2547,34.05N,117.76W
177,Escondido,California,151038,143911,37.3,96.6,4049,1563,33.13N,117.07W
